,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
68,ANT. TRIANTAFYLLIDES ESTATES LIMITED,764,C,Εταιρεία,Εγγεγραμμένη,48,48,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 2-4  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1729518, _2=33.3808816)",35.1729518,33.3808816
69,TORIBANK,767,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,2795,2795,ΒΥΡΩΝΟΣ 36  1506 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711195, _2=33.3810486)",35.1711195,33.3810486
70,E F U GENERAL INSURANCE LIMITED,778,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,13203,13203,ΚΑΡΑΪΣΚΑΚΗ 4  ΑΚΡΟΠΟΛΗ 2012 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1669128, _2=33.3766498)",35.1669128,33.3766498
71,WAVERLY TRADING LIMITED,784,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,507,507,ΚΑΡΠΕΝΗΣΙΟΥ 30  1660 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1580882, _2=33.3691274)",35.1580882,33.3691274
72,SALAMIS HOLDINGS LIMITED,785,C,Εταιρεία,Εγγεγραμμένη,22115,22115,ΖΗΝΩΝΟΣ ΚΙΤΙΕΩΣ 4  6023 ΛΑΡΝΑΚΑ ,"Row(_1=34.9162494, _2=33.6362413)",34.9162494,33.6362413
73,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),790,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,51,51,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
74,ECOCOAL LIMITED,827,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,273,273,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
75,WITTON CHEMICAL CO. LIMITED,833,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,22347,22347,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 284  3105 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
76,KEO PLC,835,C,Εταιρεία,Εγγεγραμμένη,16100,16100,ΦΡΑΓΚΛΙΝΟΥ ΡΟΥΣΒΕΛΤ 1  3602 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
77,M. PILAVAKIS TRADING AGENCY (PEDOULAS),843,B,Εμπορική Επωνυμία,Εγγεγραμμένη,22057,22057, ΠΕΔΟΥΛΑΣ 2850 ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9686392, _2=32.827564)",34.9686392,32.827564
78,UNION GROUP A.S.,847,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,1013,1013,ΧΡΥΣΑΝΘΟΥ ΜΥΛΩΝΑ 3  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6862007, _2=33.0529321)",34.6862007,33.0529321
79,UNISYS WORLD SERVICES INC.,848,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,17345,17345,ΑΙΑΝΤΟΣ 22  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1626365, _2=33.3568121)",35.1626365,33.3568121
80,VIALCO LIMITED,854,C,Εταιρεία,Εγγεγραμμένη,14133,14133,ΑΡΤΕΜΙΔΟΣ 16  6030 ΛΑΡΝΑΚΑ ,"Row(_1=34.9140237, _2=33.6278036)",34.9140237,33.6278036
81,PETROLINA LIMITED,856,C,Εταιρεία,Εγγεγραμμένη,7606,7606,ΚΙΛΚΙΣ 1  6015 ΛΑΡΝΑΚΑ ,"Row(_1=34.9209651, _2=33.6340551)",34.9209651,33.6340551
82,NEW EASTERN CELLULAR SERVICES N.V.,858,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,176,176,ΒΥΡΩΝΟΣ 36  ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711195, _2=33.3810486)",35.1711195,33.3810486
83,CENTRAGAZ LIMITED,881,C,Εταιρεία,Εγγεγραμμένη,7606,7606,ΚΙΛΚΙΣ 1  6015 ΛΑΡΝΑΚΑ ,"Row(_1=34.9209651, _2=33.6340551)",34.9209651,33.6340551
84,PHOTIOS LORDOS & SONS LIMITED,888,C,Εταιρεία,Εγγεγραμμένη,10137,10137,ΕΠΙΜΗΘΕΩΣ  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΄ΥΨΩΝΑ ΛΕΜΕΣΟΣ ,"Row(_1=34.6659144, _2=32.9933609)",34.6659144,32.9933609
85,BALFOUR BEATTY LIMITED,892,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,2513,2513,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ & ΦΛΩΡΙΝΗΣ  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1654491, _2=33.3577655)",35.1654491,33.3577655
86,LORDOS PLASTICS LIMITED,893,C,Εταιρεία,Εγγεγραμμένη,10137,10137,ΕΠΙΜΗΘΕΩΣ  ΒΙΟΜΗΧΑΝΙΚΗ ΠΕΡΙΟΧΗ ΄ΥΨΩΝΑ ΛΕΜΕΣΟΣ ,"Row(_1=34.6659144, _2=32.9933609)",34.6659144,32.9933609
87,ETERIA METAFORON KALOPANAYIOTIS,894,N,Συνεταιρισμός (BN),Εγγεγραμμένη,20800,20800, ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9916085, _2=32.8282406)",34.9916085,32.8282406
88,TRANSIT SERVICES LIMITED,895,O,Αλλοδαπή Εταιρεία,Εγγεγραμμένη,24921,24921,ΒΑΣΙΛΙΣΣΗΣ ΦΡΕΙΔΕΡΙΚΗΣ 20  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1669459, _2=33.357801)",35.1669459,33.357801
89,LAIKI ETAIRIA METAFORON LAPITHOU PUBLIC LIMITED,903,C,Εταιρεία,Εγγεγραμμένη,24490,24490,ΑΓΙΑΣ ΕΛΕΝΗΣ 6  1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.167884, _2=33.362822)",35.167884,33.362822
