,ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_STATUS,address_entity_key,address_seq_no,Full_Address,lat_lng,latitude,longitude
17533,PASSFUND CAPITAL LIMITED,310339,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17534,HAICOM PROPERTIES LIMITED,310341,C,Εταιρεία,Εγγεγραμμένη,461,461,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
17535,ASSETPLUS LIMITED,310378,C,Εταιρεία,Εγγεγραμμένη,559,559,ΣΚΟΠΑ 10  1075 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1627198, _2=33.3609353)",35.1627198,33.3609353
17536,XASM LTD,310423,C,Εταιρεία,Εγγεγραμμένη,5582,5582,ΠΑΝΑΓΙΑΣ 3  ΛΥΘΡΟΔΟΝΤΑΣ 2565 ΛΕΥΚΩΣΙΑ ,"Row(_1=34.9549462, _2=33.2997054)",34.9549462,33.2997054
17537,TROSKANI TRADING LIMITED,310425,C,Εταιρεία,Εγγεγραμμένη,461,461,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
17538,TRESEKO LIMITED,310445,C,Εταιρεία,Εγγεγραμμένη,13120,13120,ΜΑΡΚΟΥ ΔΡΑΚΟΥ 3  ΠΑΛΛΟΥΡΙΩΤΙΣΣΑ 1040 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1724578, _2=33.3756433)",35.1724578,33.3756433
17539,OZEMA LIMITED,310446,C,Εταιρεία,Εγγεγραμμένη,4568,4568,ΣΟΦΟΥΛΗ 28  1096 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1695126, _2=33.3568202)",35.1695126,33.3568202
17540,JERASOFT LIMITED,310453,C,Εταιρεία,Εγγεγραμμένη,543,543,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17541,SPORTSTARS MARKETING AGENCY LIMITED,310459,C,Εταιρεία,Εγγεγραμμένη,1260,1260,ΚΟΛΟΚΟΤΡΩΝΗ 6  ΑΓΙΟΣ ΔΟΜΕΤΙΟΣ 1101 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1727869, _2=33.3290916)",35.1727869,33.3290916
17542,EVINOLO HOLDINGS LIMITED,310484,C,Εταιρεία,Εγγεγραμμένη,52,52,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 16  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1608074, _2=33.356244)",35.1608074,33.356244
17543,ALONGO HOLDINGS LIMITED,310526,C,Εταιρεία,Εγγεγραμμένη,52,52,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 16  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1608074, _2=33.356244)",35.1608074,33.356244
17544,CONDORUM LTD,310533,C,Εταιρεία,Εγγεγραμμένη,28962,28962,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 16  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1608074, _2=33.356244)",35.1608074,33.356244
17545,PANOS ANASTASIOU AUTO INSPECTIONS LIMITED,310537,C,Εταιρεία,Εγγεγραμμένη,14903,14903,ΝΙΚΟΥ ΡΟΥΣΟΥ 16  3509 ΛΕΜΕΣΟΣ ,"Row(_1=34.6823882, _2=33.0534866)",34.6823882,33.0534866
17546,SMART ENERGY (CY) LTD,310559,C,Εταιρεία,Εγγεγραμμένη,5189,5189,ΖΗΝΑΣ ΚΑΝΘΕΡ & ΩΡΙΓΕΝΟΥΣ  3035 ΛΕΜΕΣΟΣ ,"Row(_1=35.1672846, _2=33.3592077)",35.1672846,33.3592077
17547,IE INTER POWER & INVESTMENTS LTD,310605,C,Εταιρεία,Εγγεγραμμένη,8082,8082,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 232  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
17548,TRESTANA LTD,310616,C,Εταιρεία,Εγγεγραμμένη,13290,13290,ΛΥΘΡΑΓΚΩΜΗΣ 1Α  ΛΑΚΑΤΑΜΙΑ 2324 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1185656, _2=33.3145382)",35.1185656,33.3145382
17549,GONZAGAGASSE REAL ESTATE LIMITED,310719,C,Εταιρεία,Εγγεγραμμένη,1013,1013,ΧΡΥΣΑΝΘΟΥ ΜΥΛΩΝΑ 3  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6862007, _2=33.0529321)",34.6862007,33.0529321
17550,QUORTIA LTD,310728,C,Εταιρεία,Εγγεγραμμένη,4236,4236,ΟΜΗΡΟΥ 20  ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ 3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6927253, _2=33.0577984)",34.6927253,33.0577984
17551,JUSBERLAIN LTD,310735,C,Εταιρεία,Εγγεγραμμένη,14073,14073,ΓΕΡΑΝΙΟΥ 7  ΚΙΤΙ 7550 ΛΑΡΝΑΚΑ ,"Row(_1=34.8464781, _2=33.5727305)",34.8464781,33.5727305
17552,SOLAMAR LIMITED,310833,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17553,RED TAN SEA PROPERTY LIMITED,310854,C,Εταιρεία,Εγγεγραμμένη,20555,20555,ΓΡΙΒΑ ΔΙΓΕΝΗ 80  3101 ΛΕΜΕΣΟΣ ,"Row(_1=34.692879, _2=33.063839)",34.692879,33.063839
17554,PFLEGER PATENTS LIMITED,310878,C,Εταιρεία,Εγγεγραμμένη,1611,1611,ΜΕΘΩΝΗΣ 2  1070 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1615585, _2=33.3678571)",35.1615585,33.3678571
17555,LEFKIPPI PROPERTY MANAGEMENT LIMITED,310897,C,Εταιρεία,Εγγεγραμμένη,19462,19462,ΦΩΤΙΟΥ 14  ΣΤΡΟΒΟΛΟΣ 2040 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1396996, _2=33.3431599)",35.1396996,33.3431599
17556,KALIMBA TRADING LIMITED,310914,C,Εταιρεία,Εγγεγραμμένη,25424,25424,ΑΣΙΑΣ 4  ΑΓΙΟΣ ΣΠΥΡΙΔΩΝΑΣ 3050 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
17557,A. CHRIS COFFEE LIMITED,311002,C,Εταιρεία,Εγγεγραμμένη,3636,3636,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 56  ΑΓΙΟΣ ΔΟΜΕΤΙΟΣ 2368 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1684921, _2=33.3252024)",35.1684921,33.3252024
17558,T.A. MESOYIOS STUDIES CENTER LTD,311061,C,Εταιρεία,Εγγεγραμμένη,3446,3446,ΚΑΡΑΘΕΟΔΩΡΗ 6  3011 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
17559,VERMICULITE HOLDINGS LIMITED,311072,C,Εταιρεία,Εγγεγραμμένη,51,51,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
17560,MIJEO BLU LIMITED,311129,C,Εταιρεία,Εγγεγραμμένη,17345,17345,ΑΙΑΝΤΟΣ 22  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1626365, _2=33.3568121)",35.1626365,33.3568121
17561,ZONEL OPERATIONS LIMITED,311153,C,Εταιρεία,Εγγεγραμμένη,708,708,ΑΓΙΟΥ ΠΑΥΛΟΥ 15  ΑΓΙΟΣ ΑΝΔΡΕΑΣ 1105 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1752877, _2=33.3451633)",35.1752877,33.3451633
17562,MINALEX CONSULTING LIMITED,311172,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17563,CROMFOR MANAGEMENT LIMITED,311176,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17564,MELISSAM SHIPPING LTD,311209,C,Εταιρεία,Εγγεγραμμένη,3934,3934,ΒΑΣΙΛΗ ΜΙΧΑΗΛΙΔΗ 21  3026 ΛΕΜΕΣΟΣ ,"Row(_1=34.6841379, _2=33.0419945)",34.6841379,33.0419945
17565,PRMS ENGINEERING AND RESEARCH LIMITED,311253,C,Εταιρεία,Εγγεγραμμένη,1288,1288,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 11  1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.167755, _2=33.3640957)",35.167755,33.3640957
17566,KAINA LTD,311373,C,Εταιρεία,Εγγεγραμμένη,446,446,ΡΗΓΑ ΦΕΡΑΙΟΥ 2  3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6871048, _2=33.053674)",34.6871048,33.053674
17567,HC ARUFURA HOLDINGS LIMITED,311396,C,Εταιρεία,Εγγεγραμμένη,714,714,ΒΑΣ. ΦΡΕΙΔΕΡΙΚΗΣ 20  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1669459, _2=33.357801)",35.1669459,33.357801
17568,G. MOUNTIS TRANSLATIONS LIMITED,311446,C,Εταιρεία,Εγγεγραμμένη,51,51,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
17569,CAFDEN HOLDINGS LIMITED,311680,C,Εταιρεία,Εγγεγραμμένη,10032,10032,ΓΡ. ΞΕΝΟΠΟΥΛΟΥ 17  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6865502, _2=33.0577111)",34.6865502,33.0577111
17570,SEABOARD SHIPPING CO. LIMITED,311693,C,Εταιρεία,Εγγεγραμμένη,13042,13042,ΠΑΝΤΕΛΗ ΚΑΤΕΛΑΡΗ 16  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1700603, _2=33.3575134)",35.1700603,33.3575134
17571,CULEA HOLDINGS LIMITED,311722,C,Εταιρεία,Εγγεγραμμένη,10032,10032,ΓΡ. ΞΕΝΟΠΟΥΛΟΥ 17  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6865502, _2=33.0577111)",34.6865502,33.0577111
17572,AMANOT TRADING LIMITED,311730,C,Εταιρεία,Εγγεγραμμένη,1662,1662,ΦΡΑΓΚΛΙΝΟΥ ΡΟΥΣΒΕΛΤ 140Β  3011 ΛΕΜΕΣΟΣ ,"Row(_1=34.66374630000001, _2=33.0184436)",34.66374630000001,33.0184436
17573,IBUILD SOLUTIONS LTD,311743,C,Εταιρεία,Εγγεγραμμένη,4964,4964,JOHN KENNEDY  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6863594, _2=33.0593261)",34.6863594,33.0593261
17574,VIDMED SERVICES CYPRUS LIMITED,311792,C,Εταιρεία,Εγγεγραμμένη,2768,2768,ΡΗΓΑ ΦΕΡΑΙΟΥ 4  3095 ΛΕΜΕΣΟΣ ,"Row(_1=34.6874865, _2=33.0535192)",34.6874865,33.0535192
17575,TADMIK LTD,311827,C,Εταιρεία,Εγγεγραμμένη,20088,20088,ΒΟΥΚΟΥΡΕΣΤΙΟΥ 25  ΖΑΚΑΚΙ 3045 ΛΕΜΕΣΟΣ ,"Row(_1=34.6575057, _2=33.0122586)",34.6575057,33.0122586
17576,TOGALA LIMITED,311842,C,Εταιρεία,Εγγεγραμμένη,22339,22339,ΑΠΟΛΛΩΝΟΣ 26  1514 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1711643, _2=33.360553)",35.1711643,33.360553
17577,ZMAJ INVEST CYPRUS LTD,311860,C,Εταιρεία,Εγγεγραμμένη,511,511,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17578,ORVIROM ENTERPRISES LTD,311935,C,Εταιρεία,Εγγεγραμμένη,11595,11595,ΚΑΛΛΙΠΟΛΕΩΣ 44  1071 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1619338, _2=33.374278)",35.1619338,33.374278
17579,MESTONE TRADING LIMITED,311953,C,Εταιρεία,Εγγεγραμμένη,10032,10032,ΓΡ. ΞΕΝΟΠΟΥΛΟΥ 17  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6865502, _2=33.0577111)",34.6865502,33.0577111
17580,MG3 LIMITED,311992,C,Εταιρεία,Εγγεγραμμένη,18433,18433,ΑΡΧ. ΜΑΚΑΡΙΟΥ ΙΙΙ 206  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.7587825, _2=32.9929063)",34.7587825,32.9929063
17581,FERRYWELL CONSULTANTS LIMITED,312034,C,Εταιρεία,Εγγεγραμμένη,354,354,ΘΑΣΟΥ 3  1520 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1591705, _2=33.3608447)",35.1591705,33.3608447
17582,EUROACTIVE LIMITED,312040,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17583,ALPERTMOS CONSULTANTS LIMITED,312042,C,Εταιρεία,Εγγεγραμμένη,18805,18805,ΑΜΟΡΓΟΥ 14  ΖΑΚΑΚΙ 3047 ΛΕΜΕΣΟΣ ,"Row(_1=34.6564363, _2=33.0029105)",34.6564363,33.0029105
17584,CLARESTONE LIMITED,312073,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17585,SUM SOLUTIONS LIMITED,312081,C,Εταιρεία,Εγγεγραμμένη,8330,8330,ΜΑΡΑΘΟΒΟΥΝΟΥ 9  3071 ΛΕΜΕΣΟΣ ,"Row(_1=34.6864468, _2=33.0247087)",34.6864468,33.0247087
17586,ONE UP LTD,312089,C,Εταιρεία,Εγγεγραμμένη,2871,2871,ΘΕΚΛΑΣ ΛΥΣΣΙΩΤΗ 9  3030 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
17587,TRANSGATE LIMITED,312105,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17588,ASHRAM LIMITED,312140,C,Εταιρεία,Εγγεγραμμένη,5210,5210,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
17589,IPEM RECLAMATION LTD,312149,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17590,FS LPG LIMITED,312164,C,Εταιρεία,Εγγεγραμμένη,20097,20097,ΠΡΟΠΥΛΑΙΩΝ 34  ΣΤΡΟΒΟΛΟΣ 2033 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1280296, _2=33.3637158)",35.1280296,33.3637158
17591,PLYGROVE LIMITED,312182,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17592,VANCRAFT LIMITED,312190,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17593,PRINCOMON PARTICIPATION LIMITED,312195,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17594,TRADOX ENTERPRISES LIMITED,312203,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17595,GUARANOX HOLDINGS LIMITED,312252,C,Εταιρεία,Εγγεγραμμένη,1660,1660,ΦΡΑΓΚΛΙΝΟΥ ΡΟΥΣΒΕΛΤ 140Β  3011 ΛΕΜΕΣΟΣ ,"Row(_1=34.66374630000001, _2=33.0184436)",34.66374630000001,33.0184436
17596,M.N.L. PAINTERS AND DECORATORS LIMITED,312278,C,Εταιρεία,Εγγεγραμμένη,20310,20310,ΔΡΟΜΟΣ 143 30  ΠΑΝΩ ΠΟΛΕΜΙΔΙΑ 4131 ΛΕΜΕΣΟΣ ,"Row(_1=34.7069641, _2=32.9869571)",34.7069641,32.9869571
17597,HADTSE ENERGY & CONSTRUCTION LTD,312303,C,Εταιρεία,Εγγεγραμμένη,16696,16696,ΠΕΙΡΑΙΩΣ 30  ΣΤΡΟΒΟΛΟΣ 2023 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1462177, _2=33.3529178)",35.1462177,33.3529178
17598,A. M. M. CYTEXNIKI XWMATOURGIKES ERGASIES LIMITED,312331,C,Εταιρεία,Εγγεγραμμένη,17296,17296,ΨΗΛΟΡΕΙΤΗ 44B  6059 ΛΑΡΝΑΚΑ ,"Row(_1=34.9359227, _2=33.6368164)",34.9359227,33.6368164
17599,SAMELOOP HOLDINGS LIMITED,312350,C,Εταιρεία,Εγγεγραμμένη,1288,1288,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 11  1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.167755, _2=33.3640957)",35.167755,33.3640957
17600,AVAMAXO CONSULTANCY SERVICES LIMITED,312402,C,Εταιρεία,Εγγεγραμμένη,1288,1288,ΜΠΟΥΜΠΟΥΛΙΝΑΣ 11  1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.167755, _2=33.3640957)",35.167755,33.3640957
17601,KRIDINO INVEST LIMITED,312507,C,Εταιρεία,Εγγεγραμμένη,461,461,ΔΙΑΓΟΡΟΥ 4  1097 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1698311, _2=33.3570624)",35.1698311,33.3570624
17602,KAMVAS LIMITED,312591,C,Εταιρεία,Εγγεγραμμένη,3636,3636,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 56  ΑΓΙΟΣ ΔΟΜΕΤΙΟΣ 2368 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1684921, _2=33.3252024)",35.1684921,33.3252024
17603,CETALIAMO LIMITED,312644,C,Εταιρεία,Εγγεγραμμένη,17988,17988,ΘΗΣΕΩΣ 4  ΕΓΚΩΜΗ 2413 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1422952, _2=33.341891)",35.1422952,33.341891
17604,QUINDLAND LIMITED,312691,C,Εταιρεία,Εγγεγραμμένη,21439,21439,ZENAS DE TYRAS 16  1065 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1855659, _2=33.38227639999999)",35.1855659,33.38227639999999
17605,WEALTH & INVESTMENTS LIMITED,312747,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17606,NO - AGE LTD,312773,C,Εταιρεία,Εγγεγραμμένη,10260,10260,ΜΕΣΣΗΝΙΑΣ 9  ΣΤΡΟΒΟΛΟΣ 2049 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1497758, _2=33.3467667)",35.1497758,33.3467667
17607,VAST SEA INVESTMENTS LIMITED,312829,C,Εταιρεία,Εγγεγραμμένη,10032,10032,ΓΡ. ΞΕΝΟΠΟΥΛΟΥ 17  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6865502, _2=33.0577111)",34.6865502,33.0577111
17608,BILDANA HOLDINGS LIMITED,312835,C,Εταιρεία,Εγγεγραμμένη,354,354,ΘΑΣΟΥ 3  1520 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1591705, _2=33.3608447)",35.1591705,33.3608447
17609,MINORILA TRADING LIMITED,312916,C,Εταιρεία,Εγγεγραμμένη,4828,4828,ΝΙΚΟΥ ΠΑΤΤΙΧΗ 26  3071 ΛΕΜΕΣΟΣ ,"Row(_1=34.6786322, _2=33.0413055)",34.6786322,33.0413055
17610,ASHLEE LIMITED,312939,C,Εταιρεία,Εγγεγραμμένη,543,543,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17611,VIA VASILISA LTD,313015,C,Εταιρεία,Εγγεγραμμένη,4964,4964,JOHN KENNEDY  3106 ΛΕΜΕΣΟΣ ,"Row(_1=34.6863594, _2=33.0593261)",34.6863594,33.0593261
17612,THEOD EAST MED CONSULTING LTD,313057,C,Εταιρεία,Εγγεγραμμένη,17819,17819,ΚΑΡΠΑΣΙΑΣ 5  ΤΣΕΡΙ 2480 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1428059, _2=33.3430598)",35.1428059,33.3430598
17613,SWISSPRO CAPITAL LTD,313070,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17614,GALLIANTRO LIMITED,313100,C,Εταιρεία,Εγγεγραμμένη,1260,1260,ΚΟΛΟΚΟΤΡΩΝΗ 6  ΑΓΙΟΣ ΔΟΜΕΤΙΟΣ 1101 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1727869, _2=33.3290916)",35.1727869,33.3290916
17615,UA TELECOMINVEST LIMITED,313109,C,Εταιρεία,Εγγεγραμμένη,511,511,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17616,PSS ENERGY GROUP CYPRUS LTD,313133,C,Εταιρεία,Εγγεγραμμένη,15491,15491,ΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΙΔΗ 16  8010 ΠΑΦΟΣ ,"Row(_1=34.7773809, _2=32.4292666)",34.7773809,32.4292666
17617,DEWOTT HOLDINGS LIMITED,313167,C,Εταιρεία,Εγγεγραμμένη,52,52,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 16  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1608074, _2=33.356244)",35.1608074,33.356244
17618,EDEL INTAJ INVESTMENT LTD,313235,C,Εταιρεία,Εγγεγραμμένη,375,375,ΧΥΤΡΩΝ 5  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1075 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1610337, _2=33.3605995)",35.1610337,33.3605995
17619,METLIFE SERVICES CYPRUS LIMITED,313332,C,Εταιρεία,Εγγεγραμμένη,8716,8716,KENNEDY 38  1087 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1589989, _2=33.3630721)",35.1589989,33.3630721
17620,CRONEX HOLDINGS LIMITED,313405,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17621,DGS WORLDWIDE MARKETING LIMITED,313409,C,Εταιρεία,Εγγεγραμμένη,51,51,ΛΑΜΠΟΥΣΑΣ 1  1095 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.120366, _2=33.3795155)",35.120366,33.3795155
17622,RONEX HOLDINGS LIMITED,313412,C,Εταιρεία,Εγγεγραμμένη,1450,1450,ΣΤΑΣΙΝΟΥ 1  ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1060 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1539469, _2=33.371424)",35.1539469,33.371424
17623,EK & KP TRADING LTD,313431,C,Εταιρεία,Εγγεγραμμένη,175,175,ΓΕΩΡΓΙΟΥ Α΄ 107  ΠΟΤΑΜΟΣ ΓΕΡΜΑΣΟΓΕΙΑΣ 4048 ΛΕΜΕΣΟΣ ,"Row(_1=34.6999038, _2=33.0994674)",34.6999038,33.0994674
17624,ZEKROMA HOLDINGS LIMITED,313447,C,Εταιρεία,Εγγεγραμμένη,52,52,ΚΥΡΙΑΚΟΥ ΜΑΤΣΗ 16  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1608074, _2=33.356244)",35.1608074,33.356244
17625,EC INTERNATIONAL (CY) LTD,313462,C,Εταιρεία,Εγγεγραμμένη,272,272,ΘΕΜΙΣΤΟΚΛΗ ΔΕΡΒΗ 3  1066 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1677034, _2=33.3582148)",35.1677034,33.3582148
17626,RAIONE VENTURES LIMITED,313473,C,Εταιρεία,Εγγεγραμμένη,804,804,ΑΙΑΝΤΟΣ 22  ΑΓΙΟΙ ΟΜΟΛΟΓΗΤΕΣ 1082 ΛΕΥΚΩΣΙΑ ,"Row(_1=35.1626365, _2=33.3568121)",35.1626365,33.3568121
